objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
MC16.58,SAHS.png,,Bravo Papers,image/jpeg,"""This folder contains the original 03/29/1802 Spanish declaration of reward and compensation to Cristobal Bravo. A copy resides in the Bio File under Bravo.""",St Augustine Historical Research Library,,1827-1895,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/39976,MC16.58,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.65,SAHS.png,,Juan Gianolopy,image/jpeg,A voluntery pledge of 15 pesos to His Majesty in the present war - 1799. IN SPANISH,St Augustine Historical Research Library,,1802,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/39998,MC16.65,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.72,SAHS.png,,Don Justo Lopez Papers (In Spanish),image/jpeg,"Ledger in Spanish covering 1808-1812, letter in Spanish dated 04/12/1829. IN SPANISH",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40016,MC16.72,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.74,SAHS.png,,Medicis Family Papers,image/jpeg,"The core element of this collection is the 11/11/1849 Last Will & Testament of Antonica Medicis, widow of Francis I. Medicis, just prior to her death. The follow-up document dated 11/31/1849 is the St Augustine Probate Office executing the Will following her death. Other original documents of interest include: the purchase of the Francis Medicis property in 1820, the purchase of a slave named Abraham DuPont by Emanuell Medicis on 02/02/1843, as well as several additional documents of closure on shared properties among the Medicis children going through the 1860s.",St Augustine Historical Research Library,,,,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40018,MC16.74,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.79,SAHS.png,,Pomar Family Documents,image/jpeg,"Collection includes the following materials: Invitation to funeral of Stanislaus & Cora Pomar 06/15/1872, (d.06/14/1872), daughters of Christobar Pomar & Sanchez Usina. IOU Document of Juan Pomar to Pablo Sabate (06/15/1811), paid signed by Juan Pomar (12/22/1827). Pomar, Cora; Pomar, Stanislaus; Pomar, Juan; Sabate, Pablo.",St Augustine Historical Research Library,Gentlemen,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40024,MC16.79,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.82,SAHS.png,,Sabate Documents,image/jpeg,Various 19th Century documents concerning Pablo Sabate. Includes original Juan Nepom Gomez financial files Ledger for the year 1827 as well as an incomplete Last Will of Ramon Sabate.,St Augustine Historical Research Library,My dear friend and fellow-student,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40027,MC16.82,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.83,SAHS.png,,Loose materials found in the Sanchez Biographical Files,image/jpeg,"This collection consists of 6 documents that were pulled out of the Sanchez Biographical Files. The documents are a one-page updated manuscript poem by Samuel H. Prescott, Two Superior Court documents related to the Territory of Florida vs. John McMullin & Dean P. Bryant, 12/1841 Term; a four-page manuscript document by an unknown author; It is a soliloquy on what consititutes ""The Gentle Frailty;” a four-page manuscript letter from an unknown person named Anna. (letter is dated 04/30/1841 from Washington, DC.); one page printed French Language Confirmation Document for Earnest Felix Sanchez, dated 05/19/1871, and signed Bishop of St. Augustine. Bryant, Dean P.; McMullin, John; Prescott, Samuel H.; Sanchez, Earnest F.",St Augustine Historical Research Library,Students,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40028,MC16.83,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.91,SAHS.png,,Usina Family Papers,image/jpeg,"The last will and testament of J. Michael Usina dated 09/29/1883, along with a funeral notice dated 05/03/1884; The funeral announcement for his wife, Mrs. Geneveve Usina dated 06/18/1883. Also includes a receipt from a priest for funeral expenses from Philip Usina, dated 05/04/1884.",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40034,MC16.91,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.94,SAHS.png,,Peso de Burgo House Document,image/jpeg,"Peso de Burgo, Jose (Pepino); Peso de Burgos, Jose; Pellicer, Francisco; McBride, Maria",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/39979,MC16.94,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.100,SAHS.png,,James Augustine Ponce Letters 1941-1946,image/jpeg,Letters received by James Augustine Ponce from Mrs. Dorithy Dowling of St. Augustine from 1941-1946.,St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40040,MC16.100,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.102,SAHS.png,,Pablo Sabate Account Book,image/jpeg,"This file consists of an account book of Pablo Sabate. One portion of the book is Sabate's account book dated 1804-1813. Another portion is a list of repayments to Sabate dated 1807-1811. This log book is in very fragile condition, binding is gone. The log lists, in ledger form, amount borrowed per month from Pablo Sabate. The entire book is hand written in Spanish and lists many members of the St. Augustine community labeled at the top of each page.",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40041,MC16.102,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.113,SAHS.png,,St. Elmo W. Acosta,image/jpeg,"69 pages (11x17in.) copies of newspaper clippings, cartoons and photos (many clippings/page) of the important and interesting career of St. Elmo (Chic) Acosta and his family during his long term role as Mayor of Jacksonville and his following duties in the Florida House of Representatives. He was the visionary force in the important development of early Jacksonville, and the primary force responsible for it's first major bridge across the St. Johns River, the Acosta Bridge.",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/39963,MC16.113,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.115,SAHS.png,,"Christina M. O'Sullivan (Mrs Alonzo) Hernandez Post Card Collection; and Lopez, O'Sullivan Geneology",image/jpeg,"Folder 1 consists of 69 color photograph postcards with messages and postmarks. Many of the messages are from Mrs. Hernandez's married nieces, the Lopez sisters, in St. Augustine. Folder 2 consists of Lopez, O'Sullivan geneology information, and copies of five annotated family photographs.",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/39997,MC16.115,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.117,SAHS.png,,Warranty Deed from Roderick and Catherine McNeil to William J. Reyes,image/jpeg,Warranty and Deed from Roderick and Catherine McNeil to William J. Reyes for 40+ Acres for $80.00 dated 05/03/1878.,St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40044,MC16.117,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.118,SAHS.png,,Deed From Mary W. W. and William W. Van Ness to William J. Reyes,image/jpeg,"Deed from Mary W. W. and William W. Van Ness to William J. Reyes, 05/14/1877.",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/40045,MC16.118,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.132,SAHS.png,,Mickler - Fuller - Little Collection,image/jpeg,"Mickler, Louise Polycarp; Mickler, William Felix; Mickler, Appolonia Rogero; Mickler, Carrie; Mickler, Arnold; Fuller, Herbert Huntington; Fuller, Herbert Francis; Fuller, Dorothy Louise; Little, E. Marvin; Little, Marvin",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/61399,MC16.132,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.134,SAHS.png,,Sanchez and Craig Funeral Home,image/jpeg,"Funeral books, receipts, loose documents, and bills.",St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/63044,MC16.134,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.158,SAHS.png,,"Day Ledger and Account Book of Geronimo and Antonio Alvarez,1839-1840.",image/jpeg,"Ledger - First twenty pages used for record of receipts and payments - 1839. Balance of the Volume used as ""Register of Visitors to Oldest House"" from 1914 - 1928.",St Augustine Historical Research Library,,,,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/62011,MC16.158,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.162,SAHS.png,,Juan Villalonga Judicial Proceeding,image/jpeg,"This is a 16-page manuscript Spanish document regarding the trial and punishment of Juan Villalonga for hosting late-night dances for people of color. In the book Black Society in Spanish Florida, Jane Landers writes on page 94 ""Black men joined in gambling and card games such as naipes in local taverns and men and women, free and enslaved, attended dances and dress balls. The upper floor of Juan Villalonga house on St. George Street (now part of the restored Spanish Quarter in St. Augustine) proved a popular venue for these dances for more than 20 years. Filis and Felipe Edimboro hosted dances there in the 1790s, and although periodic legislation attempted to prohibit late night dances for ""people of color"" in 1813, the government sentenced Villalonga, who by then had become a barrio commissioner, to eight days' house arrest for violating the useless ban. """,St Augustine Historical Research Library,,,yes,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/62014,MC16.162,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.186,SAHS.png,,Segui Family Manuscripts,image/jpeg,Miscellaneous material donated to the SAHS Archives over the years that were put into the Segui family Vertical File and widthdrawn into a manuscript in 09/2015.,St Augustine Historical Research Library,,,,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/63024,MC16.186,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
MC16.240,SAHS.png,,Ada Llambias Seminary Invoice,image/jpeg,"Invoice addressed to Mrs. Llambias for her daughter Ada in account with Seminary of the Sacred Heart, St. Joseph, Mo.",St Augustine Historical Research Library,,,,single-page; Manuscripts Collection,,"Saint Augustine, FL",29.905827,-81.3464328,,SAHS,SAHS,https://staughs.catalogaccess.com/archives/63108,MC16.240,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
